Hora,Nombre completo del usuario,Usuario afectado,Contexto del evento,Componente,Nombre evento,Descripción
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227741' for the user with id '1527' for the grade item with id '2042'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227737' for the user with id '1527' for the grade item with id '2375'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227735' for the user with id '1527' for the grade item with id '2376'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227736' for the user with id '1527' for the grade item with id '2378'.
"27 junio 2025, 9:41:31 AM",1527,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1527' updated the grade with id '227746' for the user with id '1527' for the grade item with id '2049'.
"27 junio 2025, 8:04:26 AM",1071,1118,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1118' for the assignment with course module id '3462'.
"27 junio 2025, 8:04:25 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215685' for the user with id '1118' for the grade item with id '2042'.
"27 junio 2025, 8:04:25 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215687' for the user with id '1118' for the grade item with id '2374'.
"27 junio 2025, 8:04:25 AM",1071,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216015' for the user with id '1118' for the grade item with id '2050'.
"27 junio 2025, 7:47:35 AM",1071,1118,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1118' for the assignment with course module id '3462'.
"27 junio 2025, 7:47:25 AM",1071,1675,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1675' for the assignment with course module id '3462'.
"27 junio 2025, 7:39:34 AM",1071,1675,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1675' for the assignment with course module id '3462'.
"27 junio 2025, 7:39:33 AM",,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215758' for the user with id '1675' for the grade item with id '2042'.
